Time,KeyPressed
2025-09-23 22:44:50.870518,j
2025-09-23 22:44:51.454029,t
2025-09-23 22:44:52.862168,L
2025-09-23 22:44:53.608219,l
2025-09-23 22:44:55.294047,o
2025-09-23 22:44:56.072210,","
2025-09-23 22:44:57.095205,4
2025-09-23 22:44:58.372075,Ctrl+S
2025-09-23 22:44:59.044572,4
2025-09-23 22:45:00.511259,e
2025-09-23 22:45:00.964390,j
2025-09-23 22:45:02.382050,u
2025-09-23 22:45:02.727150,Z
2025-09-23 22:45:03.662375,3
2025-09-23 22:45:04.400631,P
2025-09-23 22:45:05.369456,j
2025-09-23 22:45:06.811349,Y
2025-09-23 22:45:07.847508,f
2025-09-23 22:45:09.797628,M
2025-09-23 22:45:11.021687,Ctrl+Z
2025-09-23 22:45:12.626899,j
2025-09-23 22:45:13.348028,t
2025-09-23 22:45:13.730958,w
2025-09-23 22:45:15.493907,A
2025-09-23 22:45:17.369035,O
2025-09-23 22:45:18.071239,Ctrl+X
2025-09-23 22:45:18.933833,Q
2025-09-23 22:45:20.107009,g
2025-09-23 22:45:20.597052,J
2025-09-23 22:45:21.136869,q
2025-09-23 22:45:22.591216,Ctrl+C
2025-09-23 22:45:23.444683,A
2025-09-23 22:45:24.033089,8
2025-09-23 22:45:24.421509,Ctrl+U
2025-09-23 22:45:25.322701,P
2025-09-23 22:45:26.806883,Ctrl+V
2025-09-23 22:45:27.893247,O
2025-09-23 22:45:28.959637,e
2025-09-23 22:45:29.430956,k
2025-09-23 22:45:30.259544,Q
2025-09-23 22:45:30.673990,x
2025-09-23 22:45:31.808248,Ctrl+V
2025-09-23 22:45:32.025853,I
2025-09-23 22:45:33.313775,x
2025-09-23 22:45:35.114654,Ctrl+U
2025-09-23 22:45:35.479319,u
2025-09-23 22:45:37.254722,S
2025-09-23 22:45:38.851643,W
2025-09-23 22:45:39.414794,Y
2025-09-23 22:45:39.974766,f
2025-09-23 22:45:41.835570,?
2025-09-23 22:45:43.697559,C
2025-09-23 22:45:44.898658,E
2025-09-23 22:45:45.116551,Ctrl+Z
2025-09-23 22:45:45.761102,5
2025-09-23 22:45:46.553855,L
2025-09-23 22:45:47.992378,B
2025-09-23 22:45:48.642709,u
2025-09-23 22:45:50.310101,K
2025-09-23 22:45:50.970641,?
2025-09-23 22:45:51.702016,f
2025-09-23 22:45:53.484822,J
2025-09-23 22:45:53.886340,v
2025-09-23 22:45:55.843232,.
2025-09-23 22:45:57.050905,i
2025-09-23 22:45:58.271449,q
2025-09-23 22:45:58.515917,9
2025-09-23 22:45:59.824265,T
2025-09-23 22:46:00.039019,H
2025-09-23 22:46:00.242747,e
2025-09-23 22:46:01.322454,j
2025-09-23 22:46:01.628706,i
2025-09-23 22:46:02.449450,2
2025-09-23 22:46:04.352157,H
2025-09-23 22:46:05.970178,Ctrl+Z
2025-09-23 22:46:06.904332,T
2025-09-23 22:46:07.233231,D
2025-09-23 22:46:07.454310,l
2025-09-23 22:46:08.532712,F
2025-09-23 22:46:10.103364,5
2025-09-23 22:46:10.350620,s
2025-09-23 22:46:12.072118,s
2025-09-23 22:46:12.354887,7
2025-09-23 22:46:14.004202,8
2025-09-23 22:46:14.542661,R
2025-09-23 22:46:15.627779,Ctrl+Z
2025-09-23 22:46:17.343206,Ctrl+Z
2025-09-23 22:46:18.254444,0
2025-09-23 22:46:18.682959,4
2025-09-23 22:46:20.462022,z
2025-09-23 22:46:22.359128,L
2025-09-23 22:46:23.962304,Ctrl+V
2025-09-23 22:46:25.813332,0
2025-09-23 22:46:26.204055,X
2025-09-23 22:46:27.818164,T
2025-09-23 22:46:29.104982,J
2025-09-23 22:46:30.643954,S
2025-09-23 22:46:31.987771,r
2025-09-23 22:46:32.717157,L
2025-09-23 22:46:33.730786,Z
2025-09-23 22:46:34.241174,t
2025-09-23 22:46:34.690133,d
2025-09-23 22:46:36.330797,a
2025-09-23 22:46:37.109971,I
2025-09-23 22:46:38.199631,?
2025-09-23 22:46:40.129537,c
2025-09-23 22:46:40.989829,i
2025-09-23 22:46:41.801495,Ctrl+B
2025-09-23 22:46:42.833260,b
2025-09-23 22:46:43.692827,X
2025-09-23 22:46:45.211307,1
2025-09-23 22:46:46.166095,Ctrl+B
2025-09-23 22:46:46.734816,G
2025-09-23 22:46:47.191842,k
2025-09-23 22:46:47.660504,p
2025-09-23 22:46:48.133202,S
2025-09-23 22:46:49.244773,A
2025-09-23 22:46:50.859839,Ctrl+V
2025-09-23 22:46:51.419409,H
2025-09-23 22:46:53.345758,x
2025-09-23 22:46:53.680099,Ctrl+U
2025-09-23 22:46:55.252071,V
2025-09-23 22:46:56.597682,o
2025-09-23 22:46:57.281274,A
2025-09-23 22:46:57.774173,a
2025-09-23 22:46:58.806003,O
2025-09-23 22:47:00.350992,x
2025-09-23 22:47:02.259773,a
2025-09-23 22:47:03.107954,4
2025-09-23 22:47:03.381174,i
2025-09-23 22:47:04.980672,i
2025-09-23 22:47:06.554444,S
2025-09-23 22:47:06.791255,I
2025-09-23 22:47:07.952835,7
2025-09-23 22:47:09.873114,7
2025-09-23 22:47:10.669406,4
2025-09-23 22:47:12.533531,u
2025-09-23 22:47:13.769167,v
2025-09-23 22:47:14.555833,v
2025-09-23 22:47:14.787326,Ctrl+X
2025-09-23 22:47:15.108505,J
2025-09-23 22:47:15.628022,x
2025-09-23 22:47:16.917255,Ctrl+U
2025-09-23 22:47:17.857790,J
2025-09-23 22:47:18.235415,p
2025-09-23 22:47:20.074216,X
2025-09-23 22:47:21.164171,Ctrl+Z
2025-09-23 22:47:22.648218,q
2025-09-23 22:47:22.999274,6
2025-09-23 22:47:23.514118,7
2025-09-23 22:47:24.641580,W
2025-09-23 22:47:25.145113,M
2025-09-23 22:47:26.944248,c
